exper;year;site;head;density;qual;d1;d2
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;4;8
1;2000;patchreef;p12;3;1;1;4
1;2000;patchreef;p12;3;1;1;4
1;2000;patchreef;p12;3;1;11;70
1;2000;patchreef;p51;2;1;1;4
1;2000;patchreef;p51;2;1;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;8;11
1;2000;patchreef;p14;8;2;8;11
1;2000;patchreef;p17;3;2;4;8
1;2000;patchreef;p17;3;2;8;11
1;2000;patchreef;p17;3;2;11;70
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p20;4;2;1;4
1;2000;patchreef;p20;4;2;1;4
1;2000;patchreef;p20;4;2;11;70
1;2000;patchreef;p20;4;2;11;70
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;4;8
1;2000;patchreef;p11;8;3;4;8
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p10;4;4;4;8
1;2000;patchreef;p10;4;4;8;11
1;2000;patchreef;p10;4;4;11;70
1;2000;patchreef;p10;4;4;11;70
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;11;70
1;2000;patchreef;p2;4;5;1;4
1;2000;patchreef;p2;4;5;1;4
1;2000;patchreef;p2;4;5;8;11
1;2000;patchreef;p2;4;5;11;70
1;2000;patchreef;p15;3;5;1;4
1;2000;patchreef;p15;3;5;1;4
1;2000;patchreef;p15;3;5;11;70
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;11;70
1;2000;patchreef;p19;9;5;11;70
1;2000;patchreef;p21;3;7;1;4
1;2000;patchreef;p21;3;7;8;11
1;2000;patchreef;p21;3;7;11;70
1;2000;patchreef;p8;9;8;4;8
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p70;3;8;1;4
1;2000;patchreef;p70;3;8;1;4
1;2000;patchreef;p70;3;8;8;11
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;4;8
1;2000;patchreef;p16;9;9;8;11
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;1;4
1;2000;patchreef;p6;8;10;4;8
1;2000;patchreef;p6;8;10;11;70
1;2000;patchreef;p7;3;10;1;4
1;2000;patchreef;p7;3;10;1;4
1;2000;patchreef;p7;3;10;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;1;4
1;2000;patchreef;p1;10;14;11;70
1;2000;patchreef;p1;10;14;11;70
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;1;4
1;2000;patchreef;p42;7;14;8;11
1;2000;patchreef;p4;8;16;1;4
1;2000;patchreef;p4;8;16;1;4
1;2000;patchreef;p4;8;16;1;4
1;2000;patchreef;p4;8;16;1;4
1;2000;patchreef;p4;8;16;1;4
1;2000;patchreef;p4;8;16;8;11
1;2000;patchreef;p4;8;16;11;70
1;2000;patchreef;p4;8;16;11;70
1;2000;patchreef;p5;3;16;1;4
1;2000;patchreef;p5;3;16;4;8
1;2000;patchreef;p5;3;16;11;70
2;2001;backreef;r11;3;2;1;2
2;2001;backreef;r11;3;2;1;2
2;2001;backreef;r11;3;2;3;4
2;2001;backreef;r5;3;3;1;2
2;2001;backreef;r5;3;3;1;2
2;2001;backreef;r5;3;3;1;2
2;2001;backreef;r7;2;3;1;2
2;2001;backreef;r7;2;3;1;2
2;2001;backreef;r27;3;3;1;2
2;2001;backreef;r27;3;3;1;2
2;2001;backreef;r27;3;3;4;8
2;2001;backreef;r30;2;3;2;3
2;2001;backreef;r30;2;3;12;70
2;2001;backreef;r34;2;3;2;3
2;2001;backreef;r34;2;3;12;70
2;2001;backreef;r35;2;3;3;4
2;2001;backreef;r35;2;3;12;70
2;2001;backreef;r8;2;4;2;3
2;2001;backreef;r8;2;4;12;70
2;2001;backreef;r20;4;4;1;2
2;2001;backreef;r20;4;4;1;2
2;2001;backreef;r20;4;4;1;2
2;2001;backreef;r20;4;4;1;2
2;2001;backreef;r21;4;4;1;2
2;2001;backreef;r21;4;4;1;2
2;2001;backreef;r21;4;4;1;2
2;2001;backreef;r21;4;4;12;70
2;2001;backreef;r37;3;4;1;2
2;2001;backreef;r37;3;4;1;2
2;2001;backreef;r37;3;4;1;2
2;2001;backreef;r19;3;4;1;2
2;2001;backreef;r19;3;4;1;2
2;2001;backreef;r19;3;4;4;8
2;2001;backreef;r10;5;5;1;2
2;2001;backreef;r10;5;5;1;2
2;2001;backreef;r10;5;5;1;2
2;2001;backreef;r10;5;5;2;3
2;2001;backreef;r10;5;5;4;8
2;2001;backreef;r2;3;6;1;2
2;2001;backreef;r2;3;6;1;2
2;2001;backreef;r2;3;6;12;70
2;2001;backreef;r14;2;6;1;2
2;2001;backreef;r14;2;6;1;2
2;2001;backreef;r18;3;7;1;2
2;2001;backreef;r18;3;7;1;2
2;2001;backreef;r18;3;7;4;8
2;2001;backreef;r22;3;7;1;2
2;2001;backreef;r22;3;7;1;2
2;2001;backreef;r22;3;7;12;70
2;2001;backreef;r3;4;8;1;2
2;2001;backreef;r3;4;8;1;2
2;2001;backreef;r3;4;8;3;4
2;2001;backreef;r3;4;8;8;12
2;2001;backreef;r15;3;8;1;2
2;2001;backreef;r15;3;8;2;3
2;2001;backreef;r15;3;8;12;70
2;2001;backreef;r13;3;9;1;2
2;2001;backreef;r13;3;9;1;2
2;2001;backreef;r13;3;9;1;2
2;2001;backreef;r26;3;9;1;2
2;2001;backreef;r26;3;9;1;2
2;2001;backreef;r26;3;9;8;12
2;2001;backreef;r33;5;11;1;2
2;2001;backreef;r33;5;11;1;2
2;2001;backreef;r33;5;11;3;4
2;2001;backreef;r33;5;11;3;4
2;2001;backreef;r33;5;11;12;70
2;2001;backreef;r25;4;12;1;2
2;2001;backreef;r25;4;12;1;2
2;2001;backreef;r25;4;12;2;3
2;2001;backreef;r25;4;12;12;70
2;2001;backreef;r17;5;18;1;2
2;2001;backreef;r17;5;18;2;3
2;2001;backreef;r17;5;18;4;8
2;2001;backreef;r17;5;18;8;12
2;2001;backreef;r17;5;18;8;12
3;2002;backreef;r41;11;2;1;2
3;2002;backreef;r41;11;2;2;3
3;2002;backreef;r41;11;2;3;4
3;2002;backreef;r41;11;2;1;2
3;2002;backreef;r41;11;2;1;2
3;2002;backreef;r41;11;2;1;2
3;2002;backreef;r6;11;2;1;2
3;2002;backreef;r6;11;2;1;2
3;2002;backreef;r6;11;2;1;2
3;2002;backreef;r6;11;2;1;2
3;2002;backreef;r6;11;2;3;4
3;2002;backreef;r6;11;2;3;4
3;2002;backreef;r45;6;2;1;2
3;2002;backreef;r45;6;2;1;2
3;2002;backreef;r45;6;2;3;4
3;2002;backreef;r45;6;2;1;2
3;2002;backreef;r45;6;2;1;2
3;2002;backreef;r45;6;2;1;2
3;2002;backreef;r5;3;3;1;2
3;2002;backreef;r5;3;3;1;2
3;2002;backreef;r5;3;3;1;2
3;2002;backreef;r47;3;3;1;2
3;2002;backreef;r47;3;3;1;2
3;2002;backreef;r47;3;3;12;70
3;2002;backreef;r7;11;3;1;2
3;2002;backreef;r7;11;3;1;2
3;2002;backreef;r7;11;3;8;10
3;2002;backreef;r7;11;3;1;2
3;2002;backreef;r7;11;3;2;3
3;2002;backreef;r7;11;3;10;12
3;2002;backreef;r21;6;3;1;2
3;2002;backreef;r21;6;3;1;2
3;2002;backreef;r21;6;3;12;70
3;2002;backreef;r21;6;3;1;2
3;2002;backreef;r21;6;3;1;2
3;2002;backreef;r21;6;3;3;4
3;2002;backreef;r2;11;3;1;2
3;2002;backreef;r2;11;3;1;2
3;2002;backreef;r2;11;3;1;2
3;2002;backreef;r2;11;3;1;2
3;2002;backreef;r2;11;3;2;3
3;2002;backreef;r2;11;3;2;3
3;2002;backreef;r15;3;4;1;2
3;2002;backreef;r15;3;4;4;6
3;2002;backreef;r15;3;4;6;8
3;2002;backreef;r30;6;5;3;4
3;2002;backreef;r30;6;5;3;4
3;2002;backreef;r30;6;5;4;6
3;2002;backreef;r30;6;5;1;2
3;2002;backreef;r30;6;5;4;6
3;2002;backreef;r30;6;5;12;70
3;2002;backreef;r24;11;5;1;2
3;2002;backreef;r24;11;5;1;2
3;2002;backreef;r24;11;5;3;4
3;2002;backreef;r24;11;5;1;2
3;2002;backreef;r24;11;5;1;2
3;2002;backreef;r24;11;5;3;4
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r13;11;6;1;2
3;2002;backreef;r9;11;6;1;2
3;2002;backreef;r9;11;6;1;2
3;2002;backreef;r9;11;6;1;2
3;2002;backreef;r9;11;6;1;2
3;2002;backreef;r9;11;6;3;4
3;2002;backreef;r9;11;6;6;8
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r48;6;7;1;2
3;2002;backreef;r25;11;7;1;2
3;2002;backreef;r25;11;7;1;2
3;2002;backreef;r25;11;7;12;70
3;2002;backreef;r25;11;7;1;2
3;2002;backreef;r25;11;7;1;2
3;2002;backreef;r25;11;7;12;70
3;2002;backreef;r28;3;7;3;4
3;2002;backreef;r28;3;7;6;8
3;2002;backreef;r28;3;7;10;12
3;2002;backreef;r27;11;8;1;2
3;2002;backreef;r27;11;8;1;2
3;2002;backreef;r27;11;8;12;70
3;2002;backreef;r27;11;8;1;2
3;2002;backreef;r27;11;8;1;2
3;2002;backreef;r27;11;8;8;10
3;2002;backreef;r36;3;9;1;2
3;2002;backreef;r36;3;9;2;3
3;2002;backreef;r36;3;9;12;70
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r33;6;9;1;2
3;2002;backreef;r34;11;9;1;2
3;2002;backreef;r34;11;9;1;2
3;2002;backreef;r34;11;9;1;2
3;2002;backreef;r34;11;9;1;2
3;2002;backreef;r34;11;9;1;2
3;2002;backreef;r34;11;9;12;70
3;2002;backreef;r23;3;10;2;3
3;2002;backreef;r23;3;10;2;3
3;2002;backreef;r23;3;10;12;70
3;2002;backreef;r29;11;10;1;2
3;2002;backreef;r29;11;10;12;70
3;2002;backreef;r29;11;10;12;70
3;2002;backreef;r29;11;10;4;6
3;2002;backreef;r29;11;10;4;6
3;2002;backreef;r29;11;10;4;6
3;2002;backreef;r26;6;12;1;2
3;2002;backreef;r26;6;12;1;2
3;2002;backreef;r26;6;12;2;3
3;2002;backreef;r26;6;12;1;2
3;2002;backreef;r26;6;12;1;2
3;2002;backreef;r26;6;12;1;2
3;2002;backreef;r35;11;16;1;2
3;2002;backreef;r35;11;16;1;2
3;2002;backreef;r35;11;16;8;10
3;2002;backreef;r35;11;16;1;2
3;2002;backreef;r35;11;16;1;2
3;2002;backreef;r35;11;16;2;3
3;2002;backreef;r41;3;2;1;2
4;2002;backreef;r41;3;2;1;2
4;2002;backreef;r41;3;2;4;6
4;2002;backreef;r30;3;5;1;2
4;2002;backreef;r30;3;5;1;2
4;2002;backreef;r30;3;5;12;70
4;2002;backreef;r27;3;8;1;2
4;2002;backreef;r27;3;8;1;2
4;2002;backreef;r27;3;8;12;70
4;2002;backreef;r34;3;9;1;2
4;2002;backreef;r34;3;9;3;4
4;2002;backreef;r34;3;9;12;70
5;2002;backreef;r23;3;10;2;3
5;2002;backreef;r23;3;10;4;6
5;2002;backreef;r23;3;10;12;70
5;2002;backreef;r36;3;9;2;3
5;2002;backreef;r36;3;9;10;12
5;2002;backreef;r36;3;9;12;70
5;2002;backreef;r20;3;4;1;2
5;2002;backreef;r20;3;4;1;2
5;2002;backreef;r20;3;4;8;10
5;2002;backreef;r10;3;3;1;2
5;2002;backreef;r10;3;3;1;2
5;2002;backreef;r10;3;3;8;10
